Game,Sentence ,Label,Tokens 
Bingo,Bingo is a classic card game for four of more players.,Fact,"['Bingo', 'is', 'a', 'classic', 'card', 'game', 'for', 'four', 'or', 'more', 'players', '.']
"
Bingo,Bingo uses two standard 52 playing card decks.,Fact,"['Bingo', 'uses', 'two', 'standard', '52', 'playing', 'card', 'decks', '.']
"
Bingo,More decks can be used depending on the number of players and the number of playable spaces.,Fact,"['More', 'decks', 'can', 'be', 'used', 'depending', 'on', 'the', 'number', 'of', 'players', 'and', 'the', 'number', 'of', 'playable', 'spaces', '.']
"
Bingo,"Before gameplay can begin, a caller must be selected.",Act,"['Before', 'gameplay', 'can', 'begin', ',', 'a', 'caller', 'must', 'be', 'selected', '.']
"
Bingo,"To do so, players must choose a random card from a shuffled deck.",Duty,"['To', 'do', 'so', ',', 'players', 'must', 'choose', 'a', 'random', 'card', 'from', 'a', 'shuffled', 'deck', '.']
"
Bingo,The player with the lowest card becomes the caller.,Fact,"['The', 'player', 'with', 'the', 'lowest', 'card', 'becomes', 'the', 'caller', '.']
"
Bingo,Ties are broken with repeated drawings.,Fact,"['Ties', 'are', 'broken', 'with', 'repeated', 'drawings', '.']
"
Bingo,"The caller shuffles both decks and then passes out five cards, faced up, to each player.",Act,"['The', 'caller', 'shuffles', 'both', 'decks', 'and', 'then', 'passes', 'out', 'five', 'cards', ',', 'faced', 'up', ',', 'to', 'each', 'player', '.']
"
Bingo,The other deck is just for the caller.,Fact,"['The', 'other', 'deck', 'is', 'just', 'for', 'the', 'caller', '.']"
Bingo,The caller then draws cards from the shuffled deck and announces the rank and suit.,Act,"['The', 'caller', 'then', 'draws', 'cards', 'from', 'the', 'shuffled', 'deck', 'and', 'announces', 'the', 'rank', 'and', 'suit', '.']"
Bingo,"If a player has that card in their hand, they place it faced down on the table.",Duty,"['If', 'a', 'player', 'has', 'that', 'card', 'in', 'their', 'hand', ',', 'they', 'place', 'it', 'faced', 'down', 'on', 'the', 'table', '.']
"
Bingo,"When a player has all of their cards faced down, they shout “Bingo!” and win the round.",Act,"['When', 'a', 'player', 'has', 'all', 'of', 'their', 'cards', 'faced', 'down', ',', 'they', 'shout', '“Bingo!”', 'and', 'win', 'the', 'round', '.']
"
